"ENTITY","FIELD","REQUIRED?","CONDITIONAL RULE","INPUT TYPE","TARGET SELECT OPTIONS","LIVE SELECT OPTIONS","INHERITABLE FROM","DERIVED FROM","DEFAULT","MANUAL ENTRY ALLOWED?","CUSTOM/OTHER?","EXAMPLE","VALIDATION","AIRTABLE FIELD","LIVE AIRTABLE TYPE","COMPLETION DISPOSITION"
"allocation_snapshot","charge","true","","computed","","","","charge","","no","","","type","Charge","multipleRecordLinks","DERIVATION GAP: completion must derive; live field is writable"
"allocation_snapshot","allocation_rule","true","","computed","","","","allocation_rule","","no","","","type","Allocation Rule","multipleRecordLinks","DERIVATION GAP: completion must derive; live field is writable"
"allocation_snapshot","beneficiary","true","","computed","","","","allocation_rule.beneficiary","","no","","","type","Beneficiary","multipleRecordLinks","DERIVATION GAP: completion must derive; live field is writable"
"allocation_snapshot","snapshot_data","false","","computed","","","","allocation_rule","","no","","","type","Snapshot Data / Notes","multilineText","DERIVATION GAP: completion must derive; live field is writable"
"allocation_snapshot","resolved_amount","true","","computed","","","","allocation_rule|basis_amount","","no","","","type","Resolved Amount","currency","DERIVATION GAP: completion must derive; live field is writable"
"allocation_snapshot","basis_amount","true","","computed","","","","charge|allocation_basis","","no","","","type","Basis Amount","currency","DERIVATION GAP: completion must derive; live field is writable"
"allocation_snapshot","resolved_at","true","","computed","","","","clock","","no","","","type","Resolved At","dateTime","DERIVATION GAP: completion must derive; live field is writable"
"deal_economics","reference","false","","text","","","","","","yes","","","type","Deal Economics Reference","singleLineText","completion contract"
"deal_economics","deal","true","","link","","","deal_id|deal","","","yes","","","record_id","Deal","multipleRecordLinks","completion contract"
"deal_economics","margin_pct","false","","computed","","","","","","no","","","type","Margin %","percent","DERIVATION GAP: completion must derive; live field is writable"
"deal_economics","roi","false","","computed","","","","","","no","","","type","ROI","percent","DERIVATION GAP: completion must derive; live field is writable"
"deal_economics","notes","false","","text","","","","","","yes","","","type","Notes","multilineText","completion contract"
"deal_economics","revenue","false","","currency","","","","","0","yes","","","non_negative","Revenue","currency","completion contract"
"deal_economics","purchase_cost","false","","currency","","","","","0","yes","","","non_negative","Purchase Cost","currency","completion contract"
"deal_economics","direct_costs","false","","currency","","","","","0","yes","","","non_negative","Direct Costs","currency","completion contract"
"deal_economics","fees","false","","currency","","","","","0","yes","","","non_negative","Fees","currency","completion contract"
"deal_economics","shipping","false","","currency","","","","","0","yes","","","non_negative","Shipping","currency","completion contract"
"deal_economics","taxes_duties","false","","currency","","","","","0","yes","","","non_negative","Taxes / Duties","currency","completion contract"
"deal_economics","other_costs","false","","currency","","","","","0","yes","","","non_negative","Other Costs","currency","completion contract"
"deal_economics","total_cost","false","","computed","","","","","","no","","","type","Total Cost","formula","computed; never ask/write"
"deal_economics","gross_profit","false","","computed","","","","","","no","","","type","Gross Profit","formula","computed; never ask/write"
"organization","organization_name","true","","text","","","organization_name|company","","","yes","","Acme Ltd","type","Organization Name","singleLineText","completion contract"
"organization","Payments","false","","link","","","","","","no","","","outside completion contract","Payments","multipleRecordLinks","legacy or out of completion scope"
"organization","עסקאות (Deals)","false","","link","","","","","","no","","","outside completion contract","עסקאות (Deals)","multipleRecordLinks","legacy or out of completion scope"

